,Unnamed: 0,title,short_description,institution,subject,price,length,effort,level,prerequisites,course_link
14,14,Healthy Ageing in 6 Steps. Let your environment do the work.,"Learn how to make healthy choices and adjustments to your lifestyle and environment to help you live a healthier, happier and longer life.",DelftX,Health & Safety,FREE,6 weeks,2-3 hours per week,Introductory,Secondary school (high school),https://www.edx.org/course/healthy-ageing-6-steps-let-environment-delftx-eit001x-0
15,15,Linear Algebra - Foundations to Frontiers,Learn the mathematics behind linear algebra and link it to matrix software development.,UTAustinX,Math,FREE,15 weeks,8 hours per week,Intermediate,,https://www.edx.org/course/linear-algebra-foundations-frontiers-utaustinx-ut-5-05x-0
16,16,Developing Dynamic Web Applications Using Angular,"Learn the basic concepts behind Angular and the lifecycle of an Angular component. Plus, learn about the TypeScript compiler and how itÛªs used with Visual Studio Code.",Microsoft,Computer Science,FREE,4 weeks,3-4 hours per week,Intermediate,Experience with web development fundamentals.,https://www.edx.org/course/developing-dynamic-web-applications-microsoft-dev216x-0
17,17,Drinking Water Treatment,"Learn about urban water services, focusing on conventional technologies for drinking water treatment.",DelftX,Engineering,FREE,7 weeks,6-8 hours per week,Intermediate,High school level of mathematics and chemistry is recommended.,https://www.edx.org/course/drinking-water-treatment-delftx-ctb3365dwx-1
18,18,Urban Sewage Treatment,"Learn about urban water services, focusing on basic sewage treatment technologies.",DelftX,Engineering,FREE,7 weeks,6-8 hours per week,Intermediate,High school level of mathematics and chemistry is recommended.,https://www.edx.org/course/urban-sewage-treatment-delftx-ctb3365stx-1
19,19,Essential Statistics for Data Analysis using Excel,"Gain a solid understanding of statistics and basic probability, using Excel, and build on your data analysis and data science foundation.",Microsoft,Data Analysis & Statistics,FREE,6 weeks,2-4 hours per week,Intermediate,,https://www.edx.org/course/essential-statistics-data-analysis-using-microsoft-dat222x-0
20,20,Stochastic Processes: Data Analysis and Computer Simulation,"The course deals with how to simulate and analyze stochastic processes, in particular the dynamics of small particles diffusing in a fluid.",KyotoUx,Physics,FREE,6 weeks,2-3 hours per week,Intermediate,Differential and integral calculus and Linear algebra at a 2nd year undergraduate level.,https://www.edx.org/course/stochastic-processes-data-analysis-kyotoux-009x-0
21,21,Developing a Multidimensional Data Model,"Learn how to design, develop, and manage a multidimensional data model (a.k.a. cube) with SQL Server 2016 Analysis Services.",Microsoft,Computer Science,FREE,6 weeks,2-3 hours per week,Intermediate,,https://www.edx.org/course/developing-multidimensional-data-model-microsoft-dat224x
22,22,The Immune System: New Developments in Research - Part 1,Basic principles of immunology including the latest topics leading to novel therapeutic approaches.,OsakaUx,Biology & Life Sciences,FREE,5 weeks,4-6 hours per week,Introductory,Basic Biology,https://www.edx.org/course/immune-system-new-developments-research-osakaux-bio101x-0
23,23,Financial Analysis for Decision Making,Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,BabsonX,Business & Management,FREE,4 weeks,2-4 hours per week,Introductory,None,https://www.edx.org/course/financial-analysis-decision-making-babsonx-bpet-finx-0
24,24,APå¨ Italian Language and Culture,Improve your language skills and expand your knowledge of contemporary Italian culture as you prepare for success in the APå¨ Italian exam!,WellesleyX,Language,FREE,12 weeks,Missing,Advanced,2-3 years of Italian at the high school level;2-3 semesters of Italian at the college level.,https://www.edx.org/course/apr-italian-language-culture-wellesleyx-apita-x
25,25,Marketing Analytics: Data Tools and Techniques,"Learn how to measure, manage and analyze customer data to make effective marketing decisions.",Wharton,Business & Management,585,6 weeks,3-4 hours per unit,Intermediate,Basic undergraduate mathematics,https://www.edx.org/course/marketing-analytics-data-tools-wharton-marketinganalytics101x-2
26,26,Managing the Value of Customer Relationships,Learn how to identify your most valuable customers to develop and implement customer-centric strategies and maximize their strategic value.,Wharton,Business & Management,585,6 weeks,3-4 hours per week,Intermediate,,https://www.edx.org/course/managing-value-customer-relationships-wharton-customervaluex-1
27,27,"Fundamentals of Digital Marketing, Social Media, and E-Commerce","Build the marketing skills you need to succeed in the Digital Economy from Wharton, consistently ranked #1 globally for marketing education.",Wharton,Business & Management,585,6 weeks,2-3 hours per week,Intermediate,Missing,https://www.edx.org/course/fundamentals-digital-marketing-social-wharton-digitalmarketing1-1x
28,28,"Selling Ideas: How to Influence Others, and Get Your Message to Catch On",Learn how to use social media and word of mouth to spread your message and grow your business.,Wharton,Business & Management,585,6 weeks,2-3 hours per unit,Intermediate,Basic marketing concepts,https://www.edx.org/course/selling-ideas-how-influence-others-get-wharton-sellingideas101x-2
29,29,Business Strategy from Wharton: Competitive Advantage,Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,Wharton,Business & Management,199,6 weeks,3-4 hours per unit,Intermediate,,https://www.edx.org/course/business-strategy-wharton-competitive-wharton-strategyx-2
30,30,Vocal Recording Technology,"Explore emerging innovations in vocal production, audio engineering, recording, and mixing.",BerkleeX,Engineering,FREE,6 weeks,5 hours per week,Introductory,None,https://www.edx.org/course/vocal-recording-technology-berkleex-bmpr365x-3
31,31,Introduction to the Music Business,"Learn the latest about the rapidly changing music industry from recording, publishing, and distribution to legal issues confronting music commerce.",BerkleeX,Business & Management,FREE,6 weeks,5 hours per week,Introductory,None,https://www.edx.org/course/introduction-music-business-berkleex-mb110x-9
32,32,Music For Wellness,"Learn how music can help reduce stress and improve your health, and well-being.",BerkleeX,Humanities,FREE,4 weeks,5 hours per week,Introductory,None,https://www.edx.org/course/music-wellness-berkleex-omthr-001x-2
33,33,Cell Biology: Mitochondria,A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,HarvardX,Biology & Life Sciences,FREE,4 weeks,2-4 hours per week,Introductory,None,https://www.edx.org/course/cell-biology-mitochondria-harvardx-mcb64-1x-0
34,34,Tropical Coastal Ecosystems,Take the challenge and understand problems and solutions to managing tropical coastal ecosystems.,UQx,Biology & Life Sciences,FREE,9 weeks,4-5 hours per week,Introductory,,https://www.edx.org/course/tropical-coastal-ecosystems-uqx-tropic101x-4
35,35,"Introduction to Mechanics, Part 1",Learn the physics of how things move with this calculus-based course in mechanics.,RiceX,Physics,FREE,6 weeks,4 to 6 hours per week,Intermediate,Secondary school (high school) algebra and trigonometry. Calculus is needed but can be learned concurrently.,https://www.edx.org/course/introduction-mechanics-part-1-ricex-phys-101-1x
36,36,Evidence-Based Management Foundations,Become a better manager by critically evaluating key management theories and concepts that form the foundation of modern management thinking.,ANUx,Business & Management,FREE,6 weeks,8-10 hours per week,Intermediate,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,https://www.edx.org/course/evidence-based-management-foundations-anux-ebm04x
37,37,TOEFLå¨ Test Preparation: The InsiderÛªs Guide,Prepare for the TOEFLå¨ test and learn how to improve your score and English language skills from the experts who create the exam.,ETSx,Language,FREE,13 weeks,2-4 hours per week,Introductory,None,https://www.edx.org/course/toeflr-test-preparation-insiders-guide-etsx-toeflx-3
38,38,"Smart Cities, Management of Smart Urban Infrastructures","In the era of Smart Cities, learn the principles of urban infrastructure management and find ways to incorporate smart technologies into legacy infrastructures.",EPFLx,Business & Management,FREE,5 weeks,3-4 hours per week,Introductory,"All passionate learners interested in Smart Cities are welcomed. The course does not have any pre-requisites. However, in order to make the best of this MOOC, we strongly encourage you to enroll in our previous MOOC on the Management of Urban Infrastructures, which has been widely appraised by learners.",https://www.edx.org/course/smart-cities-management-smart-urban-epflx-mui2x
39,39,Urban Infrastructure Management,Learn the principles of managing urban infrastructure systems ÛÒ the complex socio-technical systems that provide basic services to more than 50% of the worldÛªs population.,EPFLx,Business & Management,FREE,5 weeks,2-3 hours per week,Introductory,No background is required; all passionate learners interested in managing and governing urban infrastructure systems are welcomed.,https://www.edx.org/course/urban-infrastructure-management-epflx-mui1x
40,40,Writing Professional Code,Writing professional code is a team sport. Learn how to elevate your game to the next level.,Microsoft,Computer Science,FREE,4 weeks,3-4 hours per week,Intermediate,Û¢  Knowledge of C# is required,https://www.edx.org/course/writing-professional-code-microsoft-dev275x
41,41,Introduction to Steel,"Explore the science, history, industrial and cultural significance of steel.",TenarisUniversity,Engineering,FREE,Missing,1-2 hours per week,Introductory,None,https://www.edx.org/course/introduction-steel-tenarisuniversity-steel101x-2
42,42,Introduction to C#,,Microsoft,Computer Science,FREE,3 weeks,3-5 hours per week,Introductory,None,https://www.edx.org/course/introduction-c-microsoft-dev204-1x
43,43,Cybersecurity: The CISO's View,Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.,UWashingtonX,Computer Science,FREE,4 weeks,2-5 hours per week,Introductory,Curiosity and interest in cybersecurity,https://www.edx.org/course/cybersecurity-cisos-view-uwashingtonx-cyb002x
44,44,Journalism for Social Change,Learn how to use solution-based journalism to impel positive social change.,UC BerkeleyX,Communication,FREE,Missing,2-4 hours per week,Introductory,None,https://www.edx.org/course/journalism-social-change-uc-berkeleyx-j4sc101x-1
45,45,Statistics and R,An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,HarvardX,Biology & Life Sciences,FREE,4 weeks,2-4 hours per week,Intermediate,,https://www.edx.org/course/statistics-r-harvardx-ph525-1x-0
46,46,Introduction to Linear Models and Matrix Algebra,Learn to use R programming to apply linear models to analyze data in life sciences.,HarvardX,Biology & Life Sciences,FREE,4 weeks,2-4 hours per week,Intermediate,,https://www.edx.org/course/introduction-linear-models-matrix-harvardx-ph525-2x-1
47,47,Statistical Inference and Modeling for High-throughput Experiments,A focus on the techniques commonly used to perform statistical inference on high throughput data.,HarvardX,Biology & Life Sciences,FREE,4 weeks,2-4 hours per week,Intermediate,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra",https://www.edx.org/course/statistical-inference-modeling-high-harvardx-ph525-3x-0
48,48,High-Dimensional Data Analysis,A focus on several techniques that are widely used in the analysis of high-dimensional data.,HarvardX,Biology & Life Sciences,FREE,4 weeks,2-4 hours per week,Advanced,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra, OR PH525.3x",https://www.edx.org/course/high-dimensional-data-analysis-harvardx-ph525-4x-0
49,49,Understanding User Needs,"Learn how to conduct effective user research to better understand what users love, hate, want and need.",MichiganX,Computer Science,FREE,4 weeks,3-4 hours per week,Intermediate,,https://www.edx.org/course/understanding-user-needs-michiganx-ux502x
50,50,Understanding the Australian Health Care System,Understand and navigate the complexities of AustraliaÛªs world-leading health care system by following patient journeys.,UQx,Health & Safety,FREE,9 weeks,1 ÛÒ 2 hours per week,Introductory,None,https://www.edx.org/course/understanding-australian-health-care-uqx-health101x
51,51,Contract Law: From Trust to Promise to Contract,"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",HarvardX,Law,FREE,8 weeks,3-5 hours per week,Intermediate,None.,https://www.edx.org/course/contract-law-trust-promise-contract-harvardx-hls2x-4
52,52,Robotics: Vision Intelligence and Machine Learning,"Learn how to design robot vision systems that avoid collisions, safely work with humans and understand their environment.",PennX,Engineering,FREE,12 weeks,8-10 hours per week,Advanced,,https://www.edx.org/course/robotics-vision-intelligence-machine-pennx-robo2x
53,53,Robotics: Dynamics and Control,"Learn how to design and engineer complex, dynamic robotic systems.",PennX,Engineering,FREE,12 weeks,8-10 hours per week,Advanced,,https://www.edx.org/course/robotics-dynamics-control-pennx-robo3x
54,54,Introduction to Kubernetes,Want to learn Kubernetes? Get an in-depth primer on this powerful system for managing containerized applications.,LinuxFoundationX,Computer Science,FREE,4-5 weeks,2-3 hours per week,Introductory,"Basic knowledge of container technology like Docker, Rkt is required.",https://www.edx.org/course/introduction-kubernetes-linuxfoundationx-lfs158x
55,55,Question Everything: Scientific Thinking in Real Life,Learn how to use math and science to solve everyday problems and better prepare yourself to continue studying science in high school and beyond.,UQx,Science,FREE,8 weeks,2-4 hours per week,Introductory,Basic math concepts,https://www.edx.org/course/question-everything-scientific-thinking-uqx-query101x-1
56,56,UX Research Surveys,Learn how to use UX surveys to gain insights into user needs and attitudes toward system designs.,MichiganX,Computer Science,FREE,3 weeks,3-4 hours per week,Intermediate,,https://www.edx.org/course/ux-research-surveys-michiganx-ux507x
57,57,Software Construction: Data Abstraction,"Learn powerful data abstraction and decomposition techniques to build large, complex programs.",UBCx,Computer Science,FREE,6 weeks,8-10 hours per week,Introductory,,https://www.edx.org/course/software-construction-data-abstraction-ubcx-softconst1x
58,58,Introductory APå¨ Microeconomics,An overview of introductory microeconomics. Learn the key principles of economics and how to apply them to the real world - and the APå¨ exam!,MITx,Economics & Finance,FREE,12 weeks,3 ÛÒ 4 hours per week,Introductory,None,https://www.edx.org/course/introductory-apr-microeconomics-mitx-14-01x
59,59,The Science of Parenting,"Move beyond the chatter and opinion surrounding parenting and learn about the scientific findings and data that can help you make sensible, informed parenting decisions.",UC San DiegoX,Social Sciences,FREE,5 weeks,3-5 hours per week,Introductory,None,https://www.edx.org/course/science-parenting-uc-san-diegox-parenting101x
60,60,Open Education and OERs Repositories,Learn how open education and open educational resources (OERs) are changing the rules of education and how to apply them to your everyday teaching.,IEEEx,Education & Teacher Training,FREE,4 weeks,2-4 hours per week,Introductory,None,https://www.edx.org/course/open-education-oers-repositories-ieeex-foe01-x
61,61,Algorithms and Data Structures,Learn how to write faster and more efficient code against the backdrop of famous algorithms.,Microsoft,Computer Science,FREE,5 weeks,3-4 hours per week,Intermediate,Dev277x suggested,https://www.edx.org/course/algorithms-data-structures-microsoft-dev285x
62,62,Introduction to Design Thinking,Design Thinking is a creative process that combines thoughtful user research with rapid iteration. Learn why it becomes an industry standard all over the world.,Microsoft,Computer Science,FREE,5 weeks,3-4 hours per week,Introductory,"Basic programming & web development skills recommended, but not required.",https://www.edx.org/course/introduction-design-thinking-microsoft-dev241x
63,63,Research Methods: An Engineering Approach,Learn how to successfully design your research and understand the underlying principles of postgraduate research from an engineering perspective.,WitsX,Engineering,FREE,6 weeks,2-3 hours per week,Introductory,"The course is aimed at postgraduate engineering research at the masters and doctoral level. However, the content is accessible without any previous learning.",https://www.edx.org/course/research-methods-engineering-approach-witsx-elen7070x-0
64,64,System Dynamics for Health Sciences,Learn to use system dynamics to better understand complex medical issues and interventions.,WitsX,Medicine,FREE,6 weeks,2-4 hours per week,Intermediate,Training in medicine or an associated discipline.,https://www.edx.org/course/system-dynamics-health-sciences-witsx-hsd101x-0
65,65,Business Model Testing,Learn how to stress test your business model to help you anticipate change and harness your business modelÛªs success.,DelftX,Business & Management,FREE,8 weeks,2-4 hours per week,Introductory,Secondary school; basic notions about business and/or practical business experience,https://www.edx.org/course/business-model-testing-delftx-bmi-3x-0
66,66,"Proteins: Alignment, Analysis and Structure",Learn about proteins and the important role structure plays in their function as you learn how to analyze and align protein sequences.,USMx,Biology & Life Sciences,FREE,8 weeks,8-10 hours per week,Advanced,Undergraduate biology,https://www.edx.org/course/proteins-alignment-analysis-structure-usmx-university-maryland-university-bif002x
67,67,DNA Sequences: Alignments and Analysis,Learn how to align and analyze DNA sequences using web and software based tools to find mutations and other anomalies in genes and genomic sequences.,USMx,Biology & Life Sciences,FREE,8 weeks,8-10 hours per week,Advanced,Undergraduate biology,https://www.edx.org/course/dna-sequences-alignments-analysis-usmx-umuc-bif001x
68,68,Troubleshooting Skype for Business,"Learn how to troubleshoot Skype for Business related issues including firewall configuration, conferencing, persistent chat and more.",Microsoft,Computer Science,FREE,"4 weeks, self-paced",3-5 hours per week,Intermediate,,https://www.edx.org/course/troubleshooting-skype-business-microsoft-cld236x
69,69,Manage Office 365 Identities,"Learn how to implement and manage the various types of identities in Office 365, including cloud, synced and federated identities.",Microsoft,Computer Science,FREE,Self-paced,4-6 hours per module,Advanced,"Familiarity with Microsoft SharePoint, Microsoft SQL and PowerShell helpful.",https://www.edx.org/course/manage-office-365-identities-microsoft-cld243x
70,70,Introduction to Biomedical Imaging,Discover how medical imaging technologies are complementary and what information they provide to health professionals.,UQx,Medicine,FREE,12 weeks,2-3 hours per week,Introductory,,https://www.edx.org/course/introduction-biomedical-imaging-uqx-bioimg101x-4
71,71,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in physics and engineering.,HarvardX,Chemistry,FREE,6 weeks,5-7 hours per week,Introductory,None,https://www.edx.org/course/science-cooking-haute-cuisine-soft-harvardx-spu27-1x-0
72,72,Compliance in Office 365: eDiscovery,"Learn how to plan, implement, and manage eDiscovery in the first in a series of courses concerning Compliance in Office 365.  ",Microsoft,Computer Science,FREE,4 weeks,3-5 hours per week,Advanced,,https://www.edx.org/course/compliance-office-365-ediscovery-microsoft-cld204x-1
73,73,Compliance in Office 365å¨: Data Governance,"Learn how to plan, implement, and manage Data Governance in Office 365. ",Microsoft,Computer Science,FREE,4 weeks,3-5 hours per week,Advanced,,https://www.edx.org/course/compliance-office-365-r-data-governance-microsoft-cld206x-0
74,74,Microsoft Exchange Server 2016 - 1: Infrastructure,"Learn how to plan, configure and manage Active Directory infrastructure requirements for Microsoft Exchange Server 2016.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Intermediate,,https://www.edx.org/course/microsoft-exchange-server-2016-1-microsoft-cld208-1x-2
75,75,Microsoft Exchange Server 2016 - 2: Client Access Services,"Learn how to plan and implement mobile messaging, Outlook and secure Internet access to improve client access services.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Advanced,,https://www.edx.org/course/microsoft-exchange-server-2016-2-client-microsoft-cld208-2x-2
76,76,Microsoft Exchange Server 2016 - 3: Mailbox Databases,"Learn how to plan and configure mailbox databases, including backup, recovery and restoration.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Intermediate,,https://www.edx.org/course/microsoft-exchange-server-2016-3-mailbox-microsoft-cld208-3x-2
77,77,Microsoft Exchange Server 2016 - 4: Transport Services,"Learn how to plan and configure message transport services, including antivirus, malware and spam-filtering solutions.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Intermediate,,https://www.edx.org/course/microsoft-exchange-server-2016-4-microsoft-cld208-4x-2
78,78,Microsoft Exchange Server 2016 - 5: Hybrid Topologies with Office 365,"Learn how to plan, deploy, and troubleshoot on-premises Exchange Server 2016 with Office 365.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Advanced,,https://www.edx.org/course/microsoft-exchange-server-2016-5-hybrid-microsoft-cld209-1x-2
79,79,Transitioning to Microsoft Exchange Server 2016,"Learn how to plan, deploy, and troubleshoot on-premises coexistence with earlier supported versions of Exchange Server 2016.",Microsoft,Computer Science,FREE,Missing,3-5 hours per module,Advanced,,https://www.edx.org/course/transitioning-microsoft-exchange-server-microsoft-cld209-2x-2
80,80,Microsoft SharePoint 2016: Infrastructure,Learn how to plan and configure the infrastructure requirements for SharePoint Server 2016.,Microsoft,Computer Science,FREE,9 weeks,3-5 hours per module,Intermediate,,https://www.edx.org/course/microsoft-sharepoint-2016-infrastructure-microsoft-cld211-1x-1
81,81,Developing NoSQL Solutions in Azure,Learn the fundamentals of NoSQL and explore several non-relational data storage options in Microsoft Azure.,Microsoft,Computer Science,FREE,3 weeks,2-3 hours per week,Intermediate,#NAME?,https://www.edx.org/course/developing-nosql-solutions-azure-microsoft-dat221x-0
82,82,Processing Big Data with Azure Data Lake Analytics,Learn how to use Azure Data Lake technologies to store and process big data in the cloud.,Microsoft,Data Analysis & Statistics,FREE,4 weeks,3-4 hours per week,Advanced,None,https://www.edx.org/course/processing-big-data-azure-data-lake-microsoft-dat223-1x-1
83,83,Processing Real-Time Data Streams in Azure,Learn how to use Microsoft Azure technologies to process real-time data in the cloud.,Microsoft,Data Analysis & Statistics,FREE,4 weeks,3-4 hours per week,Advanced,None,https://www.edx.org/course/processing-real-time-data-streams-azure-microsoft-dat223-2x-1
84,84,Orchestrating Big Data with Azure Data Factory,Learn how to use Microsoft Azure Data Factory to orchestrate big data workflows in the cloud.,Microsoft,Data Analysis & Statistics,FREE,4 weeks,3-4 hours per week,Advanced,None,https://www.edx.org/course/orchestrating-big-data-azure-data-microsoft-dat223-3x-1
85,85,Processing Big Data with Hadoop in Azure HDInsight,"Learn how to use Hadoop technologies in Microsoft Azure HDInsight to process big data in this five week, hands-on course.",Microsoft,Computer Science,FREE,5 weeks,3-4 hours per week,Intermediate,,https://www.edx.org/course/processing-big-data-hadoop-azure-microsoft-dat202-1x-2
86,86,Architecting Distributed Cloud Applications,"Learn how to architect distributed cloud apps with the right developer mindset, the finest cloud technologies, and the best cloud patterns.",Microsoft,Computer Science,FREE,6-8 weeks,2-3 hours per week,Advanced,Students should be familiar with:,https://www.edx.org/course/architecting-distributed-cloud-microsoft-devops200-9x
87,87,Understanding the Collaborators,"Learn the foundational techniques, tools, and practices to successfully collaborate with team members and customers. ",Microsoft,Computer Science,FREE,Missing,2 hours per module,Introductory,None,https://www.edx.org/course/understanding-collaborators-microsoft-cld224x-0
88,88,Onboarding Messaging to Office 365,Learn how to move your messaging system to Office 365 and how you can interact with the Microsoft FastTrack Center during your migration.,Microsoft,Computer Science,FREE,9 weeks,3-5 hours per module,Intermediate,None,https://www.edx.org/course/onboarding-messaging-office-365-microsoft-cld223x-1
89,89,Managing Microsoft Exchange Online in Office 365,Learn how to manage and configure Exchange Online in Office 365. ,Microsoft,Computer Science,FREE,9 weeks,3-5 hours per module,Intermediate,,https://www.edx.org/course/managing-microsoft-exchange-online-microsoft-cld222x-1
90,90,Skype for Business: Voice Concepts and Planning,Learn to plan and deploy voice capabilities with Cloud PBX in the first of a series of Skype for Business Voice courses.,Microsoft,Computer Science,FREE,4 weeks,3-5 hours per week,Intermediate,,https://www.edx.org/course/skype-business-voice-concepts-planning-microsoft-cld233x-0
91,91,Provisioning Office 365 Services,Learn the steps required to properly plan and configure the provisioning of an Office 365 tenant.,Microsoft,Computer Science,FREE,9 weeks,3-5 hours per module,Intermediate,,https://www.edx.org/course/provisioning-office-365-services-microsoft-cld220x-1
92,92,Enabling Office 365 Clients,Learn how to plan and deploy Microsoft Office 365 ProPlus to enable Office 365 on multiple devices.,Microsoft,Computer Science,99,9 weeks,3-5 hours per module,Intermediate,,https://www.edx.org/course/enabling-office-365-clients-microsoft-cld221x-1
93,93,Skype for Business: Fundamentals,"Gain a firm foundation of Skype for Business and how it fits into Office 365. Explore the vision, value, features and partner ecosystem.",Microsoft,Business & Management,FREE,4 weeks,2-3 hours per week,Introductory,Basic comprehension of how people use technology to communicate and collaborate.,https://www.edx.org/course/skype-business-fundamentals-microsoft-cld228x
94,94,Skype for Business: Infrastructure Planning and Design,"Learn how to plan, design and install Skype for Business server components.",Microsoft,Computer Science,FREE,4 weeks,3-5 hours per week,Intermediate,,https://www.edx.org/course/skype-business-infrastructure-planning-microsoft-cld230x-0
95,95,Skype for Business: Infrastructure Implementation and Conferencing,This course focuses on how to plan and deploy conferencing in Skype for Business 2015 Server,Microsoft,Computer Science,FREE,4 weeks,3-5 hours per module,Intermediate,Ñ Foundational knowledge of networking technologiesÑ Foundational knowledge of Microsoft Exchange Server and Windows Server technologiesÑ Foundational knowledge of Microsoft SQL ServerÑ Foundational knowledge of Azure Active Directory,https://www.edx.org/course/skype-business-infrastructure-microsoft-cld231x-0
96,96,Skype for Business: Infrastructure Advanced Configuration,Learn how to plan and deploy advanced scenarios with Skype for Business Server 2015 using high availability and hybrid deployment scenarios.,Microsoft,Computer Science,FREE,5 weeks,3-5 hours per module,Advanced,,https://www.edx.org/course/skype-business-infrastructure-advanced-microsoft-cld232x-0
97,97,Skype for Business: Voice Hybrid and Routing,Learn how to plan and deploy voice technologies with Skype for Business Online and Cloud PBX.,Microsoft,Computer Science,FREE,4 weeks,Missing,Intermediate,,https://www.edx.org/course/skype-business-voice-hybrid-routing-microsoft-cld234x-0
98,98,Skype for Business: Voice Advanced Workloads,Learn how to plan and deploy Enterprise Voice with Skype for Business Server 2015.,Microsoft,Computer Science,FREE,4 weeks,3-5 hours per module,Advanced,Foundational knowledge of networking technologies,https://www.edx.org/course/skype-business-voice-advanced-workloads-microsoft-cld235x-0
