languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
Learn how to effectively communicate in English and improve your conversational language skills. 你想与native speaker无障碍交流吗？让中外老师和50多位美国、英国、爱尔兰、加拿大、澳大利亚、哥伦比亚的朋友，带你领略一次不一样的英语学习之旅吧。    ,English,None,Art & Culture,4 hours per week,生活英语听说 | Conversational English Skills,English,Introductory,TsinghuaX,FREE,10 weeks
"Understand a city’s people, components, functions, scales and dynamics, as precondition for its sustainable design and management.",English,None.,Architecture,3 hours per week,Future Cities,English,Introductory,ETHx,FREE,10 weeks
"Understand the competing tensions of laws related to privacy and national security, and the impending consequences of this battle for our networked world.",English,None,Law,2-3 hours/week,"Cyberwar, Surveillance and Security",English,Introductory,AdelaideX,FREE,6 weeks
Explore the mysteries of exoplanets - planets around other stars – in this introductory astrophysics course.,English,,Physics,3 hours per week,Astrophysics: Exploring Exoplanets,English,Intermediate,ANUx,FREE,9 weeks
"Explore the deadliest places in the universe, from black holes to supernovae.",English,High school maths and physics.,Physics,3 hours per week,Astrophysics: The Violent Universe,English,Intermediate,ANUx,FREE,9 weeks
This course aims for a mechanistic description of mammalian brain function at the level of individual nerve cells and their synaptic interactions.,English,"Basic knowledge (High school / 1st year University) of physics, chemistry, biology and mathematics",Biology & Life Sciences,5 hours/week,Cellular Mechanisms of Brain Function,English,Intermediate,EPFLx,FREE,8 weeks
"Learn how genes are inherited and how they affect important personal and societal issues.
 ",English,Some prior knowledge of basic biology (first-year college or a recent high school course),Biology & Life Sciences,6 - 8 hours/week,Useful Genetics Part 1: How Our Genes Shape Us,English,Intermediate,UBCx,FREE,7 weeks
Learn how genes are inherited and how they affect important personal and societal issues.,English,If you have not taken Useful Genetics Part 1 you will need some prior knowledge of basic genetics (first-year college biology or a recent high school biology course).,Biology & Life Sciences,6 - 8 hours/week,"Useful Genetics, Part 2: Genes and Genetic Inheritance",English,Intermediate,UBCx,FREE,5 weeks
Learn the basics of faculty development by focusing on foundational skills that can be applied in health professional teaching contexts and practices.,English,Participants should have a role in health professions teaching,Education & Teacher Training,1-2 hours per week,Health Professional Teaching Skills – Level 1 – Foundational,English,Introductory,University of TorontoX,FREE,4 weeks
"Découvrez les circuits électriques linéaires. Apprenez à les maîtriser et à les résoudre, dans un premier temps en régime continu puis en régime alternatif.
 ",English,,Electronics,4 heures/semaine,Electrotechnique I,English,Introductory,EPFLx,FREE,8 weeks
"This course readies you for a career as an actuary in finance, investments, banking or insurance.",English,"Secondary school (high school) algebra, calculus and probability among other basic mathematical concepts.",Economics & Finance,2-4 hours per week,Introduction to Actuarial Science,English,Introductory,ANUx,FREE,8 weeks
"Explore the history of America through the view of key historic objects, inventions, and exhibits in the Smithsonian collections.",English,None,Art & Culture,1 - 2 hours/week,Smithsonian’s Objects That Define America,English,Introductory,SmithsonianX,FREE,4 weeks
"Learn the fundamentals of marketing, including strategies and tools used across industries.
 ",English,None,Business & Management,3-4 hours per week,Introduction to Marketing,English,Introductory,UBCx,FREE,6 weeks
"Learn about advanced Islamic financial instruments, including Sukuk, which commonly refers to the Islamic equivalent of bonds, and the challenges and innovations within Islamic markets.",English,None,Economics & Finance,3-4 hours per week,Islamic Finance and Capital Markets: Structure and Trading of Sukuk,English,Introductory,IRTIx,FREE,4 weeks
Understand the power of a luxury brand and gain the business skills needed to provide premium goods and services within the hotel and tourism industry,English,Leaners need to have hospitality and tourism related experiences.,Business & Management,6-8 hours per week,Luxury Management,English,Intermediate,HKPolyUx,FREE,6 weeks
"Learn cybersecurity fundamentals, including how to detect threats, protect systems and networks, and anticipate potential cyber attacks.",English,None,Computer Science,6-8 hours per week,Cybersecurity Fundamentals,English,Advanced,RITx,FREE,8 weeks
"Learn the process, techniques and tools for performing a digital forensics investigation to obtain data related to computer crimes.",English,Successful completion of CYBER501x Cybersecurity Fundamentals,Computer Science,10-12 hours per week,Computer Forensics,English,Advanced,RITx,FREE,8 weeks
Learn key concepts and strategies in grammar and style to help enhance your writing and confidently respond to the demand of high levels of literacy in the 21st century.,English,English as a first language,Humanities,4 hours per week,English Grammar and Style,English,Introductory,UQx,FREE,8 weeks
"Learn about the most fascinating animals on Earth, their sophisticated senses and how sharks and their relatives have impacted human history and culture.",English,Secondary School (high school) biology,Biology & Life Sciences,4–6 hours per week,"Sharks! Global Biodiversity, Biology, and Conservation",English,Introductory,CornellX,FREE,4 weeks
"Learn key principles of risk analysis, risk assessment and risk mitigation for information security using both qualitative and quantitative methodologies.",English,Successful completion of CYBER501x Cybersecurity Fundamentals,Computer Science,10-12 hours per week,Cybersecurity Risk Management,English,Advanced,RITx,FREE,8 weeks
Learn about macro social work and how to have large scale impact on entire communities and systems of care.,English,None,Social Sciences,8-10 hours per week,"Social Work Practice in Community Organization, Management and Policy/Evaluation",English,Advanced,MichiganX,FREE,8 weeks
Learn about leading approaches to continuous educational improvement through case studies of educational innovation.,English,"Working knowledge of schools and education systems as well as the political, policy, and public pressures to improve educational opportunities and outcomes for all students.",Education & Teacher Training,2-4 hours/week,Case Studies in Continuous Educational Improvement,English,Advanced,MichiganX,FREE,8 weeks
Learn about the core principles of computer science: algorithmic thinking and computational problem solving.,English,,Computer Science,6-8 hours per week,Algorithm Design and Analysis,English,Intermediate,PennX,FREE,4 weeks
"Learn about the role of social movements, advocacy groups and activism in bringing about social change.",English,None.,Social Sciences,8-10 hours per week,"Human Rights Activism, Advocacy and Change",English,Advanced,CurtinX,FREE,12 weeks
"Learn how to plan, develop and deliver on all aspects of work in the lifecycle of digital products using lean, agile and systems design thinking.",English,,Business & Management,4-8 hours per week,"Product Management with Lean, Agile and System Design Thinking",English,Advanced,BUx,FREE,6 weeks
Learn the mathematical theory of linear differential equations and their application to systems such as the mass-spring system and other linear oscillations.,English,,Math,8 - 10 hours/week,Linear Differential Equations,English,Intermediate,BUx,FREE,8 weeks
Learn human resources best practices to enhance your business culture and be an effective people manager.,English,None,Business & Management,4-5 hours per week,People Management for Entrepreneurs,English,Intermediate,IIMBx,FREE,7 weeks
Learn how to manage risk in your organization by using the best processes and procedures.,English,None.,Business & Management,2 – 3 hours per week,Risk Management for Projects,English,Introductory,AdelaideX,FREE,5 weeks
Learn to take on competition by creating successful and innovative business ideas through a thorough understanding of customer needs.,English,No mandatory prerequisites but successful completion of MTI001x is beneficial.,Business & Management,6-8 hours per week,Customer-Centric Innovation,English,Intermediate,RWTHx,FREE,6 weeks
"Explore the secret of life through the basics of biochemistry, genetics, molecular biology, recombinant DNA, genomics and rational medicine. Certify through the MITx 7.00x Competency Exam.",English,High school level biology and chemistry recommended. A desire to learn is required.,Biology & Life Sciences,7-14 hours per week,Introduction to Biology - The Secret of Life,English,Introductory,MITx,FREE,12 weeks
Learn to use anthropological ideas to see the world from a range of perspectives and points of view.,English,None,Humanities,1-2 hours per week,Anthropology of Current World Issues,English,Introductory,UQx,FREE,9 weeks
"Learn key concepts and approaches needed to understand, create, and perform contemporary music.
 ",English,"The ability to play an instrument is helpful but not required. You should have a passion for music and a strong interest in developing your understanding of music and ability to create it.
 ",Music,5 hours per week,Introduction to Music Theory,English,Introductory,BerkleeX,FREE,6 weeks
