languages,price,video_transcripts,title,subject,level,institution,length,prerequisites,short_description,effort
"Learn how The Introduction to Computer Numerical Control (CNC) Machining enables computers to control manufacturing tools and how to select, program and operate a CNC machine.",English,"The students attending the course should have knowledge of:
o   Mathematics.
o   Technical drawing and blueprint reading.
o   Handling measuring instruments.",Engineering,2 hours per week,Introduction to Computer Numerical Control,English,Introductory,TenarisUniversity,FREE,4 weeks
Build a solid foundation for programming by learning basic logic and exploring how logic forms the foundation of computer programs.,English,N/A,Computer Science,2-3 hours per week,Logic and Computational Thinking,English,Introductory,Microsoft,FREE,4-6 weeks
Learn the fundamentals of microfabrication and nanofabrication by using the most effective techniques in a cleanroom environment.,English,Basics in Physics and Chemistry,Engineering,3 hours per week,Micro and Nanofabrication (MEMS),English,Advanced,EPFLx,FREE,7 weeks
Learn how to develop effective project management and leadership skills that are essential for successfully guiding diverse or distributed teams and projects.,English,None.,Business & Management,2-5 hours per week,Leadership & Management for IT Project Teams,English,Introductory,UWashingtonX,FREE,4 weeks
Learn how to get teams on board with collaboration solutions and ensure widespread adoption across your organization.,English,None,Computer Science,2 - 3 hours per week,Organizing Evangelism and Achieving User Adoption,English,Introductory,Microsoft,FREE,5 weeks
"This course explores the molecules of life, starting with building blocks and culminating in complex metabolism and associated diseases.",English,,Biology & Life Sciences,4-6 hours per week,Principles of Biochemistry,English,Intermediate,HarvardX,FREE,15 weeks
A renowned innovation expert shows how to spark your creativity for career development in 5 proven steps.,English,None,Science,2-4 hours per week,Reinvent Yourself: Unleash Your Creativity,English,Introductory,UTHealthSPHx,FREE,24 weeks
Learn to create images of 3D scenes in both real-time and with realistic ray tracing in this introductory computer graphics course.,English,,Computer Science,6-12 hours per week,Computer Graphics,English,Intermediate,UC San DiegoX,FREE,6 weeks
"Students will learn about, critique, and practice methods for analyzing interaction in classrooms, developing tools to build more engaged, effective, and equitable classroom communication.",English,"3rd or 4th Year Undergraduate Students or Graduate Students who are student teaching, tutoring, or practicing teachers.",Education & Teacher Training,2-3 hours per week,Understanding Classroom Interaction,English,Introductory,PennX,FREE,5 weeks
Identify and evaluate the best international business strategies using evidence-based management.,English,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,Business & Management,8-10 hours per week,Evidence-Based Global Management,English,Intermediate,ANUx,FREE,6 weeks
An introduction to Microeconomics and its impact on managerial decision making in today’s business world.,English,"Basic analytical and logical reasoning skills: the ability to understand and draw simple graphs and knowledge of elementary (10th standard, high school) algebra.",Business & Management,5-6 hours per week,Introduction to Managerial Economics,English,Intermediate,IIMBx,FREE,6 weeks
Learn key decision-making skills to better manage and implement IT and innovation in your workplace.,English,"Basic familiarity with IT use and terminology. Also, basic understanding of business and economics concepts.",Business & Management,4-6 hours/week,Innovation and IT Management,English,Intermediate,IIMBx,FREE,6 weeks
"An overview of the past, present, and future of the United States public K-12 education system.",English,None,Social Sciences,3-5 hours per week,Saving Schools: Reforming the U.S. Education System,English,Introductory,HarvardX,FREE,10 weeks
Learn how to tackle complex mass and heat transfer problems and apply the results in your own environment.,English,,Engineering,8-10 hours per week,Advanced Transport Phenomena,English,Intermediate,DelftX,FREE,6 weeks
Learn all the basics of TypeScript to build great web applications. TypeScript is the future of web development.,English,"Basic Knowledge of JavaScript
Basic Knowledge of OOP concepts
Basic Knowledge of HTML",Computer Science,4 – 5 hours per week,Introduction to TypeScript 2,English,Intermediate,Microsoft,FREE,4 weeks
Use R to learn fundamental statistical topics such as descriptive statistics and modeling.,English,,Math,3 – 6 hours per week,Foundations of Data Analysis - Part 1: Statistics Using R,English,Introductory,UTAustinX,FREE,6 weeks
Use R to learn the fundamental statistical topic of basic inferential statistics.,English,Foundations of Data Analysis - Part 1: Statistics Using R,Math,3 – 6 hours per week,Foundations of Data Analysis - Part 2: Inferential Statistics,English,Introductory,UTAustinX,FREE,6 weeks
"This orientation course is the first course in the Web Front-End Developer, Microsoft Professional Program curriculum. It is intended to introduce you to the program and provide an overview of technologies that will be covered in the program. Students will learn about the concepts and try out some coding tasks.",English,"- High school
- Basic computer skills
- Internet knowledge",Computer Science,3-4 hours per week,Microsoft Professional Program : Front-End Web Development Orientation,English,Introductory,Microsoft,FREE,3 weeks
"Learn to use powerful, open-source, Python tools, including Pandas, Git and Matplotlib, to manipulate, analyze, and visualize complex datasets.",English,,Computer Science,8-10 hours per week,Python for Data Science,English,Advanced,UC San DiegoX,FREE,10 weeks
Where do we find water on our planet? Should we worry about rising sea levels? Can we predict climate change? Learn how to measure and monitor the Earth’s water and ice masses.,English,High school mathematics and physics,Energy & Earth Sciences,6 hours per week,Sensing Planet Earth – Water and Ice,English,Introductory,ChalmersX,FREE,5 weeks
"In Part Two of Women Have Always Worked, learn how women's work has changed the home, the workplace, and the nation in the 20th century through the present.",English,"Recommended for those with undergraduate level interest in history, labor, and gender.",History,4-6 hours per week,Women Have Always Worked: The U.S. Experience 1920 – 2016,English,Intermediate,ColumbiaX,FREE,10 weeks
"Climate change is real, so why the controversy and debate? Learn to make sense of the science and to respond to climate change denial.",English,Basic high school science recommended,Communication,2-4 hours per week,Making Sense of Climate Science Denial,English,Introductory,UQx,FREE,7 weeks
Learn the fundamentals of nutrition and its impact on human health.,English,Basic biology,Food & Nutrition,6-8 hours per week,Nutrition and Health: Macronutrients and Overnutrition,English,Introductory,WageningenX,FREE,8 weeks
"Learn how to build Web sites using HTML5 and basic CSS, directly from W3C, creator of the latest Web standards.",English,None,Computer Science,4-6 hours per week,HTML5 and CSS Fundamentals,English,Introductory,W3Cx,FREE,6 weeks
Learn how to write Web pages and Web sites by mastering HTML5 coding techniques and best practices.,English,,Computer Science,6-8 hours per week,HTML5 Coding Essentials and Best Practices,English,Intermediate,W3Cx,FREE,6 weeks
Learn about malnutrition and micronutrients and how they impact human health.,English,Undergraduate basic biology,Food & Nutrition,6-8 hours per week,Nutrition and Health: Micronutrients and Malnutrition,English,Intermediate,WageningenX,FREE,7 weeks
"Learn about bacteria, pesticides and health hazards present in food.",English,None,Food & Nutrition,6-8 hours per week,Nutrition and Health: Food Risks,English,Introductory,WageningenX,FREE,10 weeks
Learn how to conduct and analyze UX research at scale using online tools such as A/B testing and web analytics.,English,,Computer Science,3-4 hours per week,UX Research at Scale: Analytics and Online Experiments,English,Intermediate,MichiganX,FREE,3 weeks
Learn why the biobased economy is so important for achieving sustainability and how it can increase company profit and consumer demand.,English,"BSc in technology, engineering (and applied) sciences. You should have at least BSc level knowledge on courses and topics such as chemistry, mathematics and process engineering.",Environmental Studies,8-12 hours per week,Biobased Principles and Opportunities,English,Intermediate,WageningenX,FREE,10 weeks
Learn to program with Java in an easy and interactive way!,English,None,Computer Science,7-10 hours per week,Introduction to Programming with Java: Starting to code in Java,English,Introductory,UC3Mx,FREE,5 weeks
Showcase the knowledge gained in the Front End Web Developer Professional Program by creating a real-world single page application.,English,"Before taking this course, you should complete all other requirements in the Microsoft Professional Program for Front-End Web Development – see www.edx.org/microsoft-front-end-development",Computer Science,3-4 hours per week,Microsoft Professional Capstone : Front End Web Development,English,Intermediate,Microsoft,FREE,4 weeks
"Today, developers are increasingly moving from native to HTML5-based apps. Increase your ability to design and deliver innovative services on the Web!",English,,Computer Science,6-8 hours per week,HTML5 Apps and Games,English,Advanced,W3Cx,FREE,4 weeks
"Learn best practices for automating, monitoring, and maintaining SQL Server.",English,,Computer Science,2-3 hours per week,Managing SQL Server Operations,English,Intermediate,Microsoft,FREE,4 weeks
"Learn how to design, build, and program dynamical, legged robots that can operate in the real world.",English,,Engineering,8-10 hours per week,Robotics: Locomotion Engineering,English,Advanced,PennX,FREE,12 weeks
"Essential knowledge for every web developer, discover important principles of modern web security, and learn about current security best practices.",English,"Understanding of basic web technologies (HTTP, HTML, JS, …)",Computer Science,4-6 hours per week,Web Security Fundamentals,English,Introductory,KULeuvenX,FREE,5 weeks
"Whether you are a student, basic scientist, researcher, clinician, or librarian, this course is designed to help you understand, analyze, and interpret biomedical big data.",English,,Biology & Life Sciences,3-6 hours per week,Demystifying Biomedical Big Data: A User’s Guide,English,Intermediate,GeorgetownX,FREE,8 weeks
Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,English,None,Education & Teacher Training,2-4 hours per week,Leaders of Learning,English,Introductory,HarvardX,FREE,6 weeks
"Learn to host your apps in the cloud with Azure App Service Web Apps. Create, build, and deploy with your favorite tools and frameworks.",English,"Some basic programming skills are required.
A general understanding of Web App development and modern development tools will be beneficial.",Computer Science,2 – 3 hours per week,Getting Started with Azure App Service: Web Apps,English,Introductory,Microsoft,FREE,4 Weeks
"Learn to use ADO.NET and Entity Framework to create client applications that read, write, and modify data.",English,,Computer Science,2 – 4 hours per week,Developing Data Client Applications and Services,English,Intermediate,Microsoft,FREE,4 weeks
"Learn the basics of food access decision-making. In other words, who decides what ends up on your plate. Spoiler alert: it’s not just you!",English,"Secondary school, undergraduate (first/second year BSc) students",Food & Nutrition,6-8 hours per week,Sustainable Food Security: Food Access,English,Introductory,WageningenX,FREE,6 weeks
"Learn how to effectively lead in a technology-driven world, define your personal leadership journey, and make your career choices.",English,"The course is designed specifically for individuals who are currently enrolled in an engineering program or who are in possession of an engineering degree. However, people with working experience or a strong interest in the topic are welcome to participate.",Business & Management,2 - 4 hours/week,Leadership for Engineers,English,Intermediate,DelftX,FREE,5 weeks
Learn how virtual reality technology works by writing simple VR programs with WebVR.,English,,Computer Science,5-7 hours per week,How Virtual Reality (VR) Works,English,Introductory,UC San DiegoX,FREE,6 weeks
In this course you will learn project management standards and frameworks that increase efficiency and deliver tangible business benefits.,English,None.,Business & Management,2-5 hours per week,Strategic Applications of IT Project & Program Management,English,Introductory,UWashingtonX,FREE,4 weeks
Learn how statistics plays a central role in the data science approach.,English,High School Math. Some exposure to computer programming.,Data Analysis & Statistics,7 - 10 hours per week,Statistical Thinking for Data Science and Analytics,English,Introductory,ColumbiaX,FREE,5 weeks
Learn the principles of machine learning and the importance of algorithms.,English,,Data Analysis & Statistics,7-10 hours per week,Machine Learning for Data Science and Analytics,English,Introductory,ColumbiaX,FREE,5 weeks
Discover the relationship between Big Data and the Internet of Things (IoT).,English,,Data Analysis & Statistics,7-10 hours per week,Enabling Technologies for Data Science and Analytics: The Internet of Things,English,Introductory,ColumbiaX,FREE,5 weeks
Learn how to creatively reuse digital cultural content from professionals of the Europeana Space network.,English,None,Art & Culture,2-4 hours per week,Europeana Space: Creative with Digital Heritage,English,Intermediate,KULeuvenX,FREE,8 weeks
Learn how to design large software systems that solve real-world problems using object-oriented design techniques.,English,,Computer Science,8-10 hours per week,Software Construction: Object-Oriented Design,English,Intermediate,UBCx,FREE,6 weeks
Learn how to read and interpret financial statements and manage costs to take informed business decisions.,English,An overall understanding of business environment is required.,Business & Management,4-5 hours per week,Accounting for Decision-Making,English,Intermediate,IIMBx,FREE,7 weeks
A teaching course for K-12 teachers about the science of learning and how to use current research to improve classroom outcomes.,English,None,Education & Teacher Training,20 hours total,The Science of Learning - What Every Teacher Should Know,English,Intermediate,TeachersCollegeX,FREE,4 sections
Develop skills to go beyond balance and better manage work-life priorities as individuals and leaders.,English,None,Business & Management,1 - 1.5 hours per week,Get Beyond Work-Life Balance (Inclusive Leadership Training),English,Introductory,CatalystX,FREE,4 weeks
Develop communication skills that bring out the best in you — and in others.,English,None,Business & Management,1.5 - 2 hours per week,Leading With Effective Communication (Inclusive Leadership Training),English,Introductory,CatalystX,FREE,4 weeks
Discover the foundational concepts that support modern data science and learn to analyze various data types and quality to make smart business decisions.,English,Algebra,Business & Management,4-6 hours per week,Analytics for Decision Making,English,Introductory,BabsonX,FREE,4 weeks
Beginners' Chinese course from China's top university.,English,None,Language,4 hours per week,Tsinghua Chinese: Start Talking with 1.3 Billion People,English,Introductory,TsinghuaX,FREE,6 weeks
"Learn how to plan, conduct and analyze psychological research and effectively communicate the results.",English,None,Social Sciences,1 - 2 hours per week,Introduction to Psychological Research Methods,English,Introductory,UQx,FREE,7 weeks
Learn key computer science topics to better teach your students and prepare for the Praxis & TExES Computer Science certification test.,English,None,Education & Teacher Training,4-6 hours per week,Foundations of Computer Science for Teachers,English,Introductory,UTAustinX,FREE,6 weeks
Start creating and managing your own connected IoT devices today using secure Microsoft Azure technologies.,English,"- Basic programming skills are required.
- Experience programming in C, Java, JavaScript, or C# will be beneficial.
- Experience programming a Raspberry Pi, Arduino, or other single-board computer will be beneficial.",Computer Science,2-3 hours per week,Developing IoT Solutions with Azure IoT,English,Introductory,Microsoft,FREE,4 weeks
"Learn Mandarin Chinese with practice in extensive vocabulary, phrases and sentence structures used in daily communication in Mandarin Chinese.",English,None,Language,4 hours per week,Basic Mandarin Chinese – Level 2,English,Introductory,MandarinX,FREE,6 weeks
Learn how to achieve effective communication by evaluating evidence to identify and support the best communications strategies for your business.,English,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,Business & Management,8-10 hours per week,Evidence-Based Business Communication,English,Intermediate,ANUx,FREE,6 weeks
"Learn how to teach design thinking in the K-12 classroom using Cooper Hewitt, Smithsonian Design Museum’s innovative classroom activity.",English,None,Education & Teacher Training,1-2 hours per week,"Design in the Classroom with Cooper Hewitt, Smithsonian Design Museum",English,Introductory,SmithsonianX,FREE,5 weeks
"Learn how to conduct research, surveys, and interviews as well as how to analyze data to better assess the local needs and wants of a public library community.",English,Access to a public library community,Social Sciences,4/5 hours per week,Identifying Community Needs for Public Library Management,English,Introductory,MichiganX,FREE,4 weeks
"Learn basic R programming to analyze biological big data to locate genes, perform simulations, and gauge the effect of specific markers.",English,,Biology & Life Sciences,8-10 hours per week,Statistical Analysis in Bioinformatics,English,Advanced,USMx,FREE,8 weeks
Learn how to increase brand engagement through the creation and distribution of content using an owned digital channel approach.,English,,Business & Management,3-4 hours per week,Digital Branding and Engagement,English,Intermediate,CurtinX,FREE,4 weeks
"Join the transition towards a circular economy considering economic, supply chain, social, technical, managerial and environmental aspects.",English,Successful completion of BB01x and BB02x ,Business & Management,15-20 hours per week,Circular Economy,English,Advanced,WageningenX,FREE,9 weeks
"In this course that’s perfect for true beginners, learn Python basics and start coding right away.",English,None,Computer Science,3-4 hours per week,Introduction to Python: Absolute Beginner,English,Introductory,Microsoft,FREE,5 weeks
"Learn about the evolution of video games from experts at The Strong National Museum of Play, the world’s largest collection of video game materials.",English,None,Computer Science,3 hours per week,Video Game Design History,English,Introductory,RITx,FREE,5 weeks
Learn about different career pathways in cybersecurity and complete a self-assessment project to better understand the right path for you.,English,Curiosity and interest in cybersecurity,Computer Science,2-5 hours per week,Cybersecurity: Career Self-Assessment,English,Introductory,UWashingtonX,FREE,4 weeks
Learn about the different parts of the central nervous system and how they work together with the entire body.,English,Basic biology,Biology & Life Sciences,3-4 hours per week,Anatomy: Human Neuroanatomy,English,Introductory,MichiganX,FREE,8 weeks
"Learn how to think better, argue better, and choose better.",English,,Business & Management,2 hours per week,The Science of Everyday Thinking,English,Introductory,UQx,FREE,12 weeks
"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",English,None,Social Sciences,1 - 2 hours per week,Introduction to Developmental Psychology,English,Introductory,UQx,FREE,8 weeks
"Develop practical communication skills to mend divides and build a more tolerant and inclusive world through this ""mini-course.""",English,None,Communication,45 minutes - 1 hour per week,Communication Skills for Bridging Divides,English,Introductory,CatalystX,FREE,1 week
Accelerate your IT career in a cloud-enabled world by learning the basics of Windows Server computing.,English,"● Learners should have some general understanding of client and server architectures.
● As Windows PowerShell will be used to implement features in this course, learners should have a good foundation in accessing and using simple Windows PowerShell commands.",Computer Science,4-5 hours per week,Windows Server 2016: Infrastructure,English,Introductory,Microsoft,FREE,6 weeks
Learn how to conduct and analyze UX research at scale using online tools such as A/B testing and web analytics.,English,,Computer Science,3-4 hours per week,UX Research at Scale: Analytics and Online Experiments,English,Intermediate,MichiganX,FREE,3 weeks
Learn why the biobased economy is so important for achieving sustainability and how it can increase company profit and consumer demand.,English,"BSc in technology, engineering (and applied) sciences. You should have at least BSc level knowledge on courses and topics such as chemistry, mathematics and process engineering.",Environmental Studies,8-12 hours per week,Biobased Principles and Opportunities,English,Intermediate,WageningenX,FREE,10 weeks
Learn to program with Java in an easy and interactive way!,English,None,Computer Science,7-10 hours per week,Introduction to Programming with Java: Starting to code in Java,English,Introductory,UC3Mx,FREE,5 weeks
Showcase the knowledge gained in the Front End Web Developer Professional Program by creating a real-world single page application.,English,"Before taking this course, you should complete all other requirements in the Microsoft Professional Program for Front-End Web Development – see www.edx.org/microsoft-front-end-development",Computer Science,3-4 hours per week,Microsoft Professional Capstone : Front End Web Development,English,Intermediate,Microsoft,FREE,4 weeks
"Today, developers are increasingly moving from native to HTML5-based apps. Increase your ability to design and deliver innovative services on the Web!",English,,Computer Science,6-8 hours per week,HTML5 Apps and Games,English,Advanced,W3Cx,FREE,4 weeks
"Learn best practices for automating, monitoring, and maintaining SQL Server.",English,,Computer Science,2-3 hours per week,Managing SQL Server Operations,English,Intermediate,Microsoft,FREE,4 weeks
"Learn how to design, build, and program dynamical, legged robots that can operate in the real world.",English,,Engineering,8-10 hours per week,Robotics: Locomotion Engineering,English,Advanced,PennX,FREE,12 weeks
"Essential knowledge for every web developer, discover important principles of modern web security, and learn about current security best practices.",English,"Understanding of basic web technologies (HTTP, HTML, JS, …)",Computer Science,4-6 hours per week,Web Security Fundamentals,English,Introductory,KULeuvenX,FREE,5 weeks
"Whether you are a student, basic scientist, researcher, clinician, or librarian, this course is designed to help you understand, analyze, and interpret biomedical big data.",English,,Biology & Life Sciences,3-6 hours per week,Demystifying Biomedical Big Data: A User’s Guide,English,Intermediate,GeorgetownX,FREE,8 weeks
Explore and understand your own theories of learning and leadership. Gain the tools to imagine and build the future of learning.,English,None,Education & Teacher Training,2-4 hours per week,Leaders of Learning,English,Introductory,HarvardX,FREE,6 weeks
"Learn to host your apps in the cloud with Azure App Service Web Apps. Create, build, and deploy with your favorite tools and frameworks.",English,"Some basic programming skills are required.
A general understanding of Web App development and modern development tools will be beneficial.",Computer Science,2 – 3 hours per week,Getting Started with Azure App Service: Web Apps,English,Introductory,Microsoft,FREE,4 Weeks
"Learn to use ADO.NET and Entity Framework to create client applications that read, write, and modify data.",English,,Computer Science,2 – 4 hours per week,Developing Data Client Applications and Services,English,Intermediate,Microsoft,FREE,4 weeks
"Learn the basics of food access decision-making. In other words, who decides what ends up on your plate. Spoiler alert: it’s not just you!",English,"Secondary school, undergraduate (first/second year BSc) students",Food & Nutrition,6-8 hours per week,Sustainable Food Security: Food Access,English,Introductory,WageningenX,FREE,6 weeks
"Learn how to effectively lead in a technology-driven world, define your personal leadership journey, and make your career choices.",English,"The course is designed specifically for individuals who are currently enrolled in an engineering program or who are in possession of an engineering degree. However, people with working experience or a strong interest in the topic are welcome to participate.",Business & Management,2 - 4 hours/week,Leadership for Engineers,English,Intermediate,DelftX,FREE,5 weeks
Learn how virtual reality technology works by writing simple VR programs with WebVR.,English,,Computer Science,5-7 hours per week,How Virtual Reality (VR) Works,English,Introductory,UC San DiegoX,FREE,6 weeks
In this course you will learn project management standards and frameworks that increase efficiency and deliver tangible business benefits.,English,None.,Business & Management,2-5 hours per week,Strategic Applications of IT Project & Program Management,English,Introductory,UWashingtonX,FREE,4 weeks
Learn how statistics plays a central role in the data science approach.,English,High School Math. Some exposure to computer programming.,Data Analysis & Statistics,7 - 10 hours per week,Statistical Thinking for Data Science and Analytics,English,Introductory,ColumbiaX,FREE,5 weeks
Learn the principles of machine learning and the importance of algorithms.,English,,Data Analysis & Statistics,7-10 hours per week,Machine Learning for Data Science and Analytics,English,Introductory,ColumbiaX,FREE,5 weeks
Discover the relationship between Big Data and the Internet of Things (IoT).,English,,Data Analysis & Statistics,7-10 hours per week,Enabling Technologies for Data Science and Analytics: The Internet of Things,English,Introductory,ColumbiaX,FREE,5 weeks
"Learn how international law regulates armed conflicts, protects individuals in wartime, and guarantees minimum compliance.",English,,Humanities,8-12 hours per week,International Humanitarian Law,English,Advanced,LouvainX,FREE,11 weeks
Learn how to creatively reuse digital cultural content from professionals of the Europeana Space network.,English,None,Art & Culture,2-4 hours per week,Europeana Space: Creative with Digital Heritage,English,Intermediate,KULeuvenX,FREE,8 weeks
Learn how to design large software systems that solve real-world problems using object-oriented design techniques.,English,,Computer Science,8-10 hours per week,Software Construction: Object-Oriented Design,English,Intermediate,UBCx,FREE,6 weeks
Learn how to read and interpret financial statements and manage costs to take informed business decisions.,English,An overall understanding of business environment is required.,Business & Management,4-5 hours per week,Accounting for Decision-Making,English,Intermediate,IIMBx,FREE,7 weeks
A teaching course for K-12 teachers about the science of learning and how to use current research to improve classroom outcomes.,English,None,Education & Teacher Training,20 hours total,The Science of Learning - What Every Teacher Should Know,English,Intermediate,TeachersCollegeX,FREE,4 sections
Become a successful leader by learning 21st-century leadership skills and applying concepts to the real world.,English,None,Business & Management,1 - 1.5 hours per week,Becoming a Successful Leader (Inclusive Leadership Training),English,Introductory,CatalystX,FREE,4 weeks
Develop skills to go beyond balance and better manage work-life priorities as individuals and leaders.,English,None,Business & Management,1 - 1.5 hours per week,Get Beyond Work-Life Balance (Inclusive Leadership Training),English,Introductory,CatalystX,FREE,4 weeks
Develop communication skills that bring out the best in you — and in others.,English,None,Business & Management,1.5 - 2 hours per week,Leading With Effective Communication (Inclusive Leadership Training),English,Introductory,CatalystX,FREE,4 weeks
Discover the foundational concepts that support modern data science and learn to analyze various data types and quality to make smart business decisions.,English,Algebra,Business & Management,4-6 hours per week,Analytics for Decision Making,English,Introductory,BabsonX,FREE,4 weeks
Beginners' Chinese course from China's top university.,English,None,Language,4 hours per week,Tsinghua Chinese: Start Talking with 1.3 Billion People,English,Introductory,TsinghuaX,FREE,6 weeks
"Learn how to plan, conduct and analyze psychological research and effectively communicate the results.",English,None,Social Sciences,1 - 2 hours per week,Introduction to Psychological Research Methods,English,Introductory,UQx,FREE,7 weeks
Learn key computer science topics to better teach your students and prepare for the Praxis & TExES Computer Science certification test.,English,None,Education & Teacher Training,4-6 hours per week,Foundations of Computer Science for Teachers,English,Introductory,UTAustinX,FREE,6 weeks
Start creating and managing your own connected IoT devices today using secure Microsoft Azure technologies.,English,"- Basic programming skills are required.
- Experience programming in C, Java, JavaScript, or C# will be beneficial.
- Experience programming a Raspberry Pi, Arduino, or other single-board computer will be beneficial.",Computer Science,2-3 hours per week,Developing IoT Solutions with Azure IoT,English,Introductory,Microsoft,FREE,4 weeks
"Learn Mandarin Chinese with practice in extensive vocabulary, phrases and sentence structures used in daily communication in Mandarin Chinese.",English,None,Language,4 hours per week,Basic Mandarin Chinese – Level 2,English,Introductory,MandarinX,FREE,6 weeks
Learn how to achieve effective communication by evaluating evidence to identify and support the best communications strategies for your business.,English,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,Business & Management,8-10 hours per week,Evidence-Based Business Communication,English,Intermediate,ANUx,FREE,6 weeks
"Learn how to teach design thinking in the K-12 classroom using Cooper Hewitt, Smithsonian Design Museum’s innovative classroom activity.",English,None,Education & Teacher Training,1-2 hours per week,"Design in the Classroom with Cooper Hewitt, Smithsonian Design Museum",English,Introductory,SmithsonianX,FREE,5 weeks
"Learn how to conduct research, surveys, and interviews as well as how to analyze data to better assess the local needs and wants of a public library community.",English,Access to a public library community,Social Sciences,4/5 hours per week,Identifying Community Needs for Public Library Management,English,Introductory,MichiganX,FREE,4 weeks
"Learn basic R programming to analyze biological big data to locate genes, perform simulations, and gauge the effect of specific markers.",English,,Biology & Life Sciences,8-10 hours per week,Statistical Analysis in Bioinformatics,English,Advanced,USMx,FREE,8 weeks
Learn how to use technology innovation as a tool to fight poverty and enable sustainable development.,English,None.,Engineering,2-3 hours per week,Technology Innovation for Sustainable Development,English,Introductory,EPFLx,FREE,6 weeks
Learn how to increase brand engagement through the creation and distribution of content using an owned digital channel approach.,English,,Business & Management,3-4 hours per week,Digital Branding and Engagement,English,Intermediate,CurtinX,FREE,4 weeks
"Join the transition towards a circular economy considering economic, supply chain, social, technical, managerial and environmental aspects.",English,Successful completion of BB01x and BB02x ,Business & Management,15-20 hours per week,Circular Economy,English,Advanced,WageningenX,FREE,9 weeks
A hands-on workshop to learn how to deploy and manage applications on Cloud Foundry. Grow from novice to knowledge-hound in your spare time!,English,,Computer Science,3-4 hours per week,Introduction to Cloud Foundry and Cloud Native Software Architecture,English,Introductory,LinuxFoundationX,FREE,6 weeks
"In this course that’s perfect for true beginners, learn Python basics and start coding right away.",English,None,Computer Science,3-4 hours per week,Introduction to Python: Absolute Beginner,English,Introductory,Microsoft,FREE,5 weeks
Gain first-hand experience of the UX design process as you take a UX design project from an initial sketch and develop it into a wireframe.,English,,Computer Science,3-4 hours per week,UX Design: From Concept to Wireframe,English,Intermediate,MichiganX,FREE,3 weeks
"Learn how to manage Master Data Management (MDM) solutions with SQL Server 2016 Master Data Services (MDS) to deliver authoritative, standardized, and validated versions of your data.",English,None,Computer Science,3-4 hours per module,Creating a Master Data Solution with SQL Server Master Data Services (MDS),English,Intermediate,Microsoft,FREE,4 modules
"Learn the secret to writing well-tested and easy to improve programs, that will set you up to master any programming language",English,"No programming experience required, but many experienced programmers take this course to become better programmers.",Computer Science,8-10 hours per week,How to Code: Simple Data,English,Introductory,UBCx,FREE,7 weeks
"Learn about the evolution of video games from experts at The Strong National Museum of Play, the world’s largest collection of video game materials.",English,None,Computer Science,3 hours per week,Video Game Design History,English,Introductory,RITx,FREE,5 weeks
Learn about different career pathways in cybersecurity and complete a self-assessment project to better understand the right path for you.,English,Curiosity and interest in cybersecurity,Computer Science,2-5 hours per week,Cybersecurity: Career Self-Assessment,English,Introductory,UWashingtonX,FREE,4 weeks
Learn about the different parts of the central nervous system and how they work together with the entire body.,English,Basic biology,Biology & Life Sciences,3-4 hours per week,Anatomy: Human Neuroanatomy,English,Introductory,MichiganX,FREE,8 weeks
"Learn how to think better, argue better, and choose better.",English,,Business & Management,2 hours per week,The Science of Everyday Thinking,English,Introductory,UQx,FREE,12 weeks
"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",English,None,Social Sciences,1 - 2 hours per week,Introduction to Developmental Psychology,English,Introductory,UQx,FREE,8 weeks
"Develop practical communication skills to mend divides and build a more tolerant and inclusive world through this ""mini-course.""",English,None,Communication,45 minutes - 1 hour per week,Communication Skills for Bridging Divides,English,Introductory,CatalystX,FREE,1 week
Accelerate your IT career in a cloud-enabled world by learning the basics of Windows Server computing.,English,"● Learners should have some general understanding of client and server architectures.
● As Windows PowerShell will be used to implement features in this course, learners should have a good foundation in accessing and using simple Windows PowerShell commands.",Computer Science,4-5 hours per week,Windows Server 2016: Infrastructure,English,Introductory,Microsoft,FREE,6 weeks
Master the foundational math concepts that drive robotics and put them into practice using MATLAB.,English,,Engineering,8-10 hours per week,Robotics: Fundamentals,English,Advanced,PennX,FREE,12 weeks
Use the skills and knowledge gained through User Experience (UX) Research and Design MicroMasters Program courses to design and conduct a complete UX project.,English,,Design,4-5 hours per week,UX (User Experience) Capstone,English,Intermediate,MichiganX,FREE,8 weeks
Learn to program in an easy and interactive way and enter the fascinating world of computer science.,English,"It is recommended to be familiar with the topics covered in Introduction to Introduction to programming with Java, Part 1: Starting to Code with Java.",Computer Science,5-7 hours per week,Introduction to Programming with Java: Writing Good Code,English,Introductory,UC3Mx,FREE,5 weeks
An introduction to the study of bioethics and the application of legal and ethical reasoning.,English,None,Law,2-3 hours per week,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",English,Introductory,HarvardX,FREE,7 weeks
