course_link,price,title,subject,level,institution,length,prerequisites,short_description,effort
"Prepare for the IELTS Academic tests in this comprehensive, self-paced course covering listening, speaking, reading and writing.",None. This course is suitable for anyone preparing to take the Academic IELTS test.,8 weeks,FREE,IELTS Academic Test Preparation,Communication,5-10 hours per week,https://www.edx.org/course/ielts-academic-test-preparation-uqx-ieltsx-1,Introductory,UQx
"Learn how to make healthy choices and adjustments to your lifestyle and environment to help you live a healthier, happier and longer life.",Secondary school (high school),6 weeks,FREE,Healthy Ageing in 6 Steps. Let your environment do the work.,Health & Safety,2-3 hours per week,https://www.edx.org/course/healthy-ageing-6-steps-let-environment-delftx-eit001x-0,Introductory,DelftX
Learn the mathematics behind linear algebra and link it to matrix software development.,,15 weeks,FREE,Linear Algebra - Foundations to Frontiers,Math,8 hours per week,https://www.edx.org/course/linear-algebra-foundations-frontiers-utaustinx-ut-5-05x-0,Intermediate,UTAustinX
"Learn the basic concepts behind Angular and the lifecycle of an Angular component. Plus, learn about the TypeScript compiler and how itâ€™s used with Visual Studio Code.",Experience with web development fundamentals.,4 weeks,FREE,Developing Dynamic Web Applications Using Angular,Computer Science,3-4 hours per week,https://www.edx.org/course/developing-dynamic-web-applications-microsoft-dev216x-0,Intermediate,Microsoft
"Learn about urban water services, focusing on conventional technologies for drinking water treatment.",High school level of mathematics and chemistry is recommended.,7 weeks,FREE,Drinking Water Treatment,Engineering,6-8 hours per week,https://www.edx.org/course/drinking-water-treatment-delftx-ctb3365dwx-1,Intermediate,DelftX
"Learn about urban water services, focusing on basic sewage treatment technologies.",High school level of mathematics and chemistry is recommended.,7 weeks,FREE,Urban Sewage Treatment,Engineering,6-8 hours per week,https://www.edx.org/course/urban-sewage-treatment-delftx-ctb3365stx-1,Intermediate,DelftX
"Gain a solid understanding of statistics and basic probability, using Excel, and build on your data analysis and data science foundation.",,6 weeks,FREE,Essential Statistics for Data Analysis using Excel,Data Analysis & Statistics,2-4 hours per week,https://www.edx.org/course/essential-statistics-data-analysis-using-microsoft-dat222x-0,Intermediate,Microsoft
"The course deals with how to simulate and analyze stochastic processes, in particular the dynamics of small particles diffusing in a fluid.",Differential and integral calculus and Linear algebra at a 2nd year undergraduate level.,6 weeks,FREE,Stochastic Processes: Data Analysis and Computer Simulation,Physics,2-3 hours per week,https://www.edx.org/course/stochastic-processes-data-analysis-kyotoux-009x-0,Intermediate,KyotoUx
"Learn how to design, develop, and manage a multidimensional data model (a.k.a. cube) with SQL Server 2016 Analysis Services.",,6 weeks,FREE,Developing a Multidimensional Data Model,Computer Science,2-3 hours per week,https://www.edx.org/course/developing-multidimensional-data-model-microsoft-dat224x,Intermediate,Microsoft
Basic principles of immunology including the latest topics leading to novel therapeutic approaches.,Basic Biology,5 weeks,FREE,The Immune System: New Developments in Research - Part 1,Biology & Life Sciences,4-6 hours per week,https://www.edx.org/course/immune-system-new-developments-research-osakaux-bio101x-0,Introductory,OsakaUx
Learn how to analyze business opportunities for their financial viability and secure funding to start and grow your business.,None,4 weeks,FREE,Financial Analysis for Decision Making,Business & Management,2-4 hours per week,https://www.edx.org/course/financial-analysis-decision-making-babsonx-bpet-finx-0,Introductory,BabsonX
Improve your language skills and expand your knowledge of contemporary Italian culture as you prepare for success in the APÂ® Italian exam!,"2-3 years of Italian at the high school level;
2-3 semesters of Italian at the college level.",12 weeks,FREE,APÂ® Italian Language and Culture,Language,Missing,https://www.edx.org/course/apr-italian-language-culture-wellesleyx-apita-x,Advanced,WellesleyX
"Learn how to measure, manage and analyze customer data to make effective marketing decisions.",Basic undergraduate mathematics,6 weeks,Missing,Marketing Analytics: Data Tools and Techniques,Business & Management,3-4 hours per unit,https://www.edx.org/course/marketing-analytics-data-tools-wharton-marketinganalytics101x-2,Intermediate,Wharton
Learn how to identify your most valuable customers to develop and implement customer-centric strategies and maximize their strategic value.,,6 weeks,Missing,Managing the Value of Customer Relationships,Business & Management,3-4 hours per week,https://www.edx.org/course/managing-value-customer-relationships-wharton-customervaluex-1,Intermediate,Wharton
"Build the marketing skills you need to succeed in the Digital Economy from Wharton, consistently ranked #1 globally for marketing education.",Missing,6 weeks,Missing,"Fundamentals of Digital Marketing, Social Media, and E-Commerce",Business & Management,2-3 hours per week,https://www.edx.org/course/fundamentals-digital-marketing-social-wharton-digitalmarketing1-1x,Intermediate,Wharton
Learn how to use social media and word of mouth to spread your message and grow your business.,Basic marketing concepts,6 weeks,Missing,"Selling Ideas: How to Influence Others, and Get Your Message to Catch On",Business & Management,2-3 hours per unit,https://www.edx.org/course/selling-ideas-how-influence-others-get-wharton-sellingideas101x-2,Intermediate,Wharton
Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,,6 weeks,Missing,Business Strategy from Wharton: Competitive Advantage,Business & Management,3-4 hours per unit,https://www.edx.org/course/business-strategy-wharton-competitive-wharton-strategyx-2,Intermediate,Wharton
"Explore emerging innovations in vocal production, audio engineering, recording, and mixing.",None,6 weeks,FREE,Vocal Recording Technology,Engineering,5 hours per week,https://www.edx.org/course/vocal-recording-technology-berkleex-bmpr365x-3,Introductory,BerkleeX
"Learn the latest about the rapidly changing music industry from recording, publishing, and distribution to legal issues confronting music commerce.",None,6 weeks,FREE,Introduction to the Music Business,Business & Management,5 hours per week,https://www.edx.org/course/introduction-music-business-berkleex-mb110x-9,Introductory,BerkleeX
"Learn how music can help reduce stress and improve your health, and well-being.",None,4 weeks,FREE,Music For Wellness,Humanities,5 hours per week,https://www.edx.org/course/music-wellness-berkleex-omthr-001x-2,Introductory,BerkleeX
A human-centered approach to the fundamentals of cell biology with a focus on the power plants of the cell - mitochondria.,None,4 weeks,FREE,Cell Biology: Mitochondria,Biology & Life Sciences,2-4 hours per week,https://www.edx.org/course/cell-biology-mitochondria-harvardx-mcb64-1x-0,Introductory,HarvardX
Take the challenge and understand problems and solutions to managing tropical coastal ecosystems.,,9 weeks,FREE,Tropical Coastal Ecosystems,Biology & Life Sciences,4-5 hours per week,https://www.edx.org/course/tropical-coastal-ecosystems-uqx-tropic101x-4,Introductory,UQx
Learn the physics of how things move with this calculus-based course in mechanics.,Secondary school (high school) algebra and trigonometry. Calculus is needed but can be learned concurrently.,6 weeks,FREE,"Introduction to Mechanics, Part 1",Physics,4 to 6 hours per week,https://www.edx.org/course/introduction-mechanics-part-1-ricex-phys-101-1x,Intermediate,RiceX
Become a better manager by critically evaluating key management theories and concepts that form the foundation of modern management thinking.,Students are required to have completed EBM01x. This course is a graduate level course that assumes an undergraduate degree level understanding in a non-cognate area.,6 weeks,FREE,Evidence-Based Management Foundations,Business & Management,8-10 hours per week,https://www.edx.org/course/evidence-based-management-foundations-anux-ebm04x,Intermediate,ANUx
Prepare for the TOEFLÂ® test and learn how to improve your score and English language skills from the experts who create the exam.,None,13 weeks,FREE,TOEFLÂ® Test Preparation: The Insiderâ€™s Guide,Language,2-4 hours per week,https://www.edx.org/course/toeflr-test-preparation-insiders-guide-etsx-toeflx-3,Introductory,ETSx
"In the era of Smart Cities, learn the principles of urban infrastructure management and find ways to incorporate smart technologies into legacy infrastructures.","All passionate learners interested in Smart Cities are welcomed. The course does not have any pre-requisites. However, in order to make the best of this MOOC, we strongly encourage you to enroll in our previous MOOC on the Management of Urban Infrastructures, which has been widely appraised by learners.",5 weeks,FREE,"Smart Cities, Management of Smart Urban Infrastructures",Business & Management,3-4 hours per week,https://www.edx.org/course/smart-cities-management-smart-urban-epflx-mui2x,Introductory,EPFLx
Learn the principles of managing urban infrastructure systems â€“ the complex socio-technical systems that provide basic services to more than 50% of the worldâ€™s population.,No background is required; all passionate learners interested in managing and governing urban infrastructure systems are welcomed.,5 weeks,FREE,Urban Infrastructure Management,Business & Management,2-3 hours per week,https://www.edx.org/course/urban-infrastructure-management-epflx-mui1x,Introductory,EPFLx
Writing professional code is a team sport. Learn how to elevate your game to the next level.,â€¢  Knowledge of C# is required,4 weeks,FREE,Writing Professional Code,Computer Science,3-4 hours per week,https://www.edx.org/course/writing-professional-code-microsoft-dev275x,Intermediate,Microsoft
"Explore the science, history, industrial and cultural significance of steel.",None,Missing,FREE,Introduction to Steel,Engineering,1-2 hours per week,https://www.edx.org/course/introduction-steel-tenarisuniversity-steel101x-2,Introductory,TenarisUniversity
,None,3 weeks,FREE,Introduction to C#,Computer Science,3-5 hours per week,https://www.edx.org/course/introduction-c-microsoft-dev204-1x,Introductory,Microsoft
Learn about cybersecurity operations and the role played by the Chief Information Security Officer (CISO) in the industry.,Curiosity and interest in cybersecurity,4 weeks,FREE,Cybersecurity: The CISO's View,Computer Science,2-5 hours per week,https://www.edx.org/course/cybersecurity-cisos-view-uwashingtonx-cyb002x,Introductory,UWashingtonX
Learn how to use solution-based journalism to impel positive social change.,None,Missing,FREE,Journalism for Social Change,Communication,2-4 hours per week,https://www.edx.org/course/journalism-social-change-uc-berkeleyx-j4sc101x-1,Introductory,UC BerkeleyX
An introduction to basic statistical concepts and R programming skills necessary for analyzing data in the life sciences.,,4 weeks,FREE,Statistics and R,Biology & Life Sciences,2-4 hours per week,https://www.edx.org/course/statistics-r-harvardx-ph525-1x-0,Intermediate,HarvardX
Learn to use R programming to apply linear models to analyze data in life sciences.,,4 weeks,FREE,Introduction to Linear Models and Matrix Algebra,Biology & Life Sciences,2-4 hours per week,https://www.edx.org/course/introduction-linear-models-matrix-harvardx-ph525-2x-1,Intermediate,HarvardX
A focus on the techniques commonly used to perform statistical inference on high throughput data.,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra",4 weeks,FREE,Statistical Inference and Modeling for High-throughput Experiments,Biology & Life Sciences,2-4 hours per week,https://www.edx.org/course/statistical-inference-modeling-high-harvardx-ph525-3x-0,Intermediate,HarvardX
A focus on several techniques that are widely used in the analysis of high-dimensional data.,"PH525.1x and PH525.2x or basic programming, intro to statistics, intro to linear algebra, OR PH525.3x",4 weeks,FREE,High-Dimensional Data Analysis,Biology & Life Sciences,2-4 hours per week,https://www.edx.org/course/high-dimensional-data-analysis-harvardx-ph525-4x-0,Advanced,HarvardX
"Learn how to conduct effective user research to better understand what users love, hate, want and need.",,4 weeks,FREE,Understanding User Needs,Computer Science,3-4 hours per week,https://www.edx.org/course/understanding-user-needs-michiganx-ux502x,Intermediate,MichiganX
Understand and navigate the complexities of Australiaâ€™s world-leading health care system by following patient journeys.,None,9 weeks,FREE,Understanding the Australian Health Care System,Health & Safety,1 â€“ 2 hours per week,https://www.edx.org/course/understanding-australian-health-care-uqx-health101x,Introductory,UQx
"Contracts are a part of our everyday life, arising in collaboration, trust, promise and credit. How are contracts formed? What makes a contract enforceable? What happens when one party breaks a promise?",None.,8 weeks,FREE,Contract Law: From Trust to Promise to Contract,Law,3-5 hours per week,https://www.edx.org/course/contract-law-trust-promise-contract-harvardx-hls2x-4,Intermediate,HarvardX
"Learn how to design robot vision systems that avoid collisions, safely work with humans and understand their environment.",,12 weeks,FREE,Robotics: Vision Intelligence and Machine Learning,Engineering,8-10 hours per week,https://www.edx.org/course/robotics-vision-intelligence-machine-pennx-robo2x,Advanced,PennX
"Learn how to design and engineer complex, dynamic robotic systems.",,12 weeks,FREE,Robotics: Dynamics and Control,Engineering,8-10 hours per week,https://www.edx.org/course/robotics-dynamics-control-pennx-robo3x,Advanced,PennX
Want to learn Kubernetes? Get an in-depth primer on this powerful system for managing containerized applications.,"Basic knowledge of container technology like Docker, Rkt is required.",4-5 weeks,FREE,Introduction to Kubernetes,Computer Science,2-3 hours per week,https://www.edx.org/course/introduction-kubernetes-linuxfoundationx-lfs158x,Introductory,LinuxFoundationX
Learn how to use math and science to solve everyday problems and better prepare yourself to continue studying science in high school and beyond.,Basic math concepts,8 weeks,FREE,Question Everything: Scientific Thinking in Real Life,Science,2-4 hours per week,https://www.edx.org/course/question-everything-scientific-thinking-uqx-query101x-1,Introductory,UQx
Learn how to use UX surveys to gain insights into user needs and attitudes toward system designs.,,3 weeks,FREE,UX Research Surveys,Computer Science,3-4 hours per week,https://www.edx.org/course/ux-research-surveys-michiganx-ux507x,Intermediate,MichiganX
"Learn powerful data abstraction and decomposition techniques to build large, complex programs.",,6 weeks,FREE,Software Construction: Data Abstraction,Computer Science,8-10 hours per week,https://www.edx.org/course/software-construction-data-abstraction-ubcx-softconst1x,Introductory,UBCx
An overview of introductory microeconomics. Learn the key principles of economics and how to apply them to the real world - and the APÂ® exam!,None,12 weeks,FREE,Introductory APÂ® Microeconomics,Economics & Finance,3 â€“ 4 hours per week,https://www.edx.org/course/introductory-apr-microeconomics-mitx-14-01x,Introductory,MITx
"Move beyond the chatter and opinion surrounding parenting and learn about the scientific findings and data that can help you make sensible, informed parenting decisions.",None,5 weeks,FREE,The Science of Parenting,Social Sciences,3-5 hours per week,https://www.edx.org/course/science-parenting-uc-san-diegox-parenting101x,Introductory,UC San DiegoX
Learn how open education and open educational resources (OERs) are changing the rules of education and how to apply them to your everyday teaching.,None,4 weeks,FREE,Open Education and OERs Repositories,Education & Teacher Training,2-4 hours per week,https://www.edx.org/course/open-education-oers-repositories-ieeex-foe01-x,Introductory,IEEEx
Learn how to write faster and more efficient code against the backdrop of famous algorithms.,Dev277x suggested,5 weeks,FREE,Algorithms and Data Structures,Computer Science,3-4 hours per week,https://www.edx.org/course/algorithms-data-structures-microsoft-dev285x,Intermediate,Microsoft
Design Thinking is a creative process that combines thoughtful user research with rapid iteration. Learn why it becomes an industry standard all over the world.,"Basic programming & web development skills recommended, but not required.",5 weeks,FREE,Introduction to Design Thinking,Computer Science,3-4 hours per week,https://www.edx.org/course/introduction-design-thinking-microsoft-dev241x,Introductory,Microsoft
Learn how to successfully design your research and understand the underlying principles of postgraduate research from an engineering perspective.,"The course is aimed at postgraduate engineering research at the masters and doctoral level. However, the content is accessible without any previous learning.",6 weeks,FREE,Research Methods: An Engineering Approach,Engineering,2-3 hours per week,https://www.edx.org/course/research-methods-engineering-approach-witsx-elen7070x-0,Introductory,WitsX
Learn to use system dynamics to better understand complex medical issues and interventions.,Training in medicine or an associated discipline.,6 weeks,FREE,System Dynamics for Health Sciences,Medicine,2-4 hours per week,https://www.edx.org/course/system-dynamics-health-sciences-witsx-hsd101x-0,Intermediate,WitsX
Learn how to stress test your business model to help you anticipate change and harness your business modelâ€™s success.,Secondary school; basic notions about business and/or practical business experience,8 weeks,FREE,Business Model Testing,Business & Management,2-4 hours/week,https://www.edx.org/course/business-model-testing-delftx-bmi-3x-0,Introductory,DelftX
Learn about proteins and the important role structure plays in their function as you learn how to analyze and align protein sequences.,Undergraduate biology,8 weeks,FREE,"Proteins: Alignment, Analysis and Structure",Biology & Life Sciences,8-10 hours per week,https://www.edx.org/course/proteins-alignment-analysis-structure-usmx-university-maryland-university-bif002x,Advanced,USMx
Learn how to align and analyze DNA sequences using web and software based tools to find mutations and other anomalies in genes and genomic sequences.,Undergraduate biology,8 weeks,FREE,DNA Sequences: Alignments and Analysis,Biology & Life Sciences,8-10 hours per week,https://www.edx.org/course/dna-sequences-alignments-analysis-usmx-umuc-bif001x,Advanced,USMx
"Learn how to troubleshoot Skype for Business related issues including firewall configuration, conferencing, persistent chat and more.",,"4 weeks, self-paced",FREE,Troubleshooting Skype for Business,Computer Science,3-5 hours per week,https://www.edx.org/course/troubleshooting-skype-business-microsoft-cld236x,Intermediate,Microsoft
"Learn how to implement and manage the various types of identities in Office 365, including cloud, synced and federated identities.","Familiarity with Microsoft SharePoint, Microsoft SQL and PowerShell helpful.",Self-paced,FREE,Manage Office 365 Identities,Computer Science,4-6 hours per module,https://www.edx.org/course/manage-office-365-identities-microsoft-cld243x,Advanced,Microsoft
Discover how medical imaging technologies are complementary and what information they provide to health professionals.,,12 weeks,FREE,Introduction to Biomedical Imaging,Medicine,2-3 hours per week,https://www.edx.org/course/introduction-biomedical-imaging-uqx-bioimg101x-4,Introductory,UQx
Top chefs and Harvard researchers explore how everyday cooking and haute cuisine can illuminate basic principles in physics and engineering.,None,6 weeks,FREE,Science & Cooking: From Haute Cuisine to Soft Matter Science (part 1),Chemistry,5-7 hours per week,https://www.edx.org/course/science-cooking-haute-cuisine-soft-harvardx-spu27-1x-0,Introductory,HarvardX
"Learn how to plan, implement, and manage eDiscovery in the first in a series of courses concerning Compliance in Office 365. 
 ",,4 weeks,FREE,Compliance in Office 365: eDiscovery,Computer Science,3 - 5 hours/week,https://www.edx.org/course/compliance-office-365-ediscovery-microsoft-cld204x-1,Advanced,Microsoft
"Learn how to plan, implement, and manage Data Governance in Office 365. ",,4 weeks,FREE,Compliance in Office 365Â®: Data Governance,Computer Science,3-5 hours per week,https://www.edx.org/course/compliance-office-365-r-data-governance-microsoft-cld206x-0,Advanced,Microsoft
"Learn how to plan, configure and manage Active Directory infrastructure requirements for Microsoft Exchange Server 2016.",,Missing,FREE,Microsoft Exchange Server 2016 - 1: Infrastructure,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-exchange-server-2016-1-microsoft-cld208-1x-2,Intermediate,Microsoft
"Learn how to plan and implement mobile messaging, Outlook and secure Internet access to improve client access services.",,Missing,FREE,Microsoft Exchange Server 2016 - 2: Client Access Services,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-exchange-server-2016-2-client-microsoft-cld208-2x-2,Advanced,Microsoft
"Learn how to plan and configure mailbox databases, including backup, recovery and restoration.",,Missing,FREE,Microsoft Exchange Server 2016 - 3: Mailbox Databases,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-exchange-server-2016-3-mailbox-microsoft-cld208-3x-2,Intermediate,Microsoft
"Learn how to plan and configure message transport services, including antivirus, malware and spam-filtering solutions.",,Missing,FREE,Microsoft Exchange Server 2016 - 4: Transport Services,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-exchange-server-2016-4-microsoft-cld208-4x-2,Intermediate,Microsoft
"Learn how to plan, deploy, and troubleshoot on-premises Exchange Server 2016 with Office 365.",,Missing,FREE,Microsoft Exchange Server 2016 - 5: Hybrid Topologies with Office 365,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-exchange-server-2016-5-hybrid-microsoft-cld209-1x-2,Advanced,Microsoft
"Learn how to plan, deploy, and troubleshoot on-premises coexistence with earlier supported versions of Exchange Server 2016.",,Missing,FREE,Transitioning to Microsoft Exchange Server 2016,Computer Science,3-5 hours per module,https://www.edx.org/course/transitioning-microsoft-exchange-server-microsoft-cld209-2x-2,Advanced,Microsoft
Learn how to plan and configure the infrastructure requirements for SharePoint Server 2016.,,9 weeks,FREE,Microsoft SharePoint 2016: Infrastructure,Computer Science,3-5 hours per module,https://www.edx.org/course/microsoft-sharepoint-2016-infrastructure-microsoft-cld211-1x-1,Intermediate,Microsoft
Learn the fundamentals of NoSQL and explore several non-relational data storage options in Microsoft Azure.,#NAME?,3 weeks,FREE,Developing NoSQL Solutions in Azure,Computer Science,2-3 hours per week,https://www.edx.org/course/developing-nosql-solutions-azure-microsoft-dat221x-0,Intermediate,Microsoft
Learn how to use Azure Data Lake technologies to store and process big data in the cloud.,None,4 weeks,FREE,Processing Big Data with Azure Data Lake Analytics,Data Analysis & Statistics,3-4 hours per week,https://www.edx.org/course/processing-big-data-azure-data-lake-microsoft-dat223-1x-1,Advanced,Microsoft
Learn how to use Microsoft Azure technologies to process real-time data in the cloud.,None,4 weeks,FREE,Processing Real-Time Data Streams in Azure,Data Analysis & Statistics,3-4 hours per week,https://www.edx.org/course/processing-real-time-data-streams-azure-microsoft-dat223-2x-1,Advanced,Microsoft
Learn how to use Microsoft Azure Data Factory to orchestrate big data workflows in the cloud.,None,4 weeks,FREE,Orchestrating Big Data with Azure Data Factory,Data Analysis & Statistics,3-4 hours per week,https://www.edx.org/course/orchestrating-big-data-azure-data-microsoft-dat223-3x-1,Advanced,Microsoft
"Learn how to use Hadoop technologies in Microsoft Azure HDInsight to process big data in this five week, hands-on course.",,5 weeks,FREE,Processing Big Data with Hadoop in Azure HDInsight,Computer Science,3-4 hours per week,https://www.edx.org/course/processing-big-data-hadoop-azure-microsoft-dat202-1x-2,Intermediate,Microsoft
"Learn how to architect distributed cloud apps with the right developer mindset, the finest cloud technologies, and the best cloud patterns.",Students should be familiar with:,6-8 weeks,FREE,Architecting Distributed Cloud Applications,Computer Science,2-3 hours per week,https://www.edx.org/course/architecting-distributed-cloud-microsoft-devops200-9x,Advanced,Microsoft
"Learn the foundational techniques, tools, and practices to successfully collaborate with team members and customers. ",None,Missing,FREE,Understanding the Collaborators,Computer Science,2 hours per module,https://www.edx.org/course/understanding-collaborators-microsoft-cld224x-0,Introductory,Microsoft
Learn how to move your messaging system to Office 365 and how you can interact with the Microsoft FastTrack Center during your migration.,None,9 weeks,FREE,Onboarding Messaging to Office 365,Computer Science,3-5 hours per module,https://www.edx.org/course/onboarding-messaging-office-365-microsoft-cld223x-1,Intermediate,Microsoft
Learn how to manage and configure Exchange Online in Office 365. ,,9 weeks,FREE,Managing Microsoft Exchange Online in Office 365,Computer Science,3-5 hours per module,https://www.edx.org/course/managing-microsoft-exchange-online-microsoft-cld222x-1,Intermediate,Microsoft
Learn to plan and deploy voice capabilities with Cloud PBX in the first of a series of Skype for Business Voice courses.,,4 weeks,FREE,Skype for Business: Voice Concepts and Planning,Computer Science,3-5 hours per week,https://www.edx.org/course/skype-business-voice-concepts-planning-microsoft-cld233x-0,Intermediate,Microsoft
Learn the steps required to properly plan and configure the provisioning of an Office 365 tenant.,,9 weeks,FREE,Provisioning Office 365 Services,Computer Science,3-5 hours per module,https://www.edx.org/course/provisioning-office-365-services-microsoft-cld220x-1,Intermediate,Microsoft
Learn how to plan and deploy Microsoft Office 365 ProPlus to enable Office 365 on multiple devices.,,9 weeks,Missing,Enabling Office 365 Clients,Computer Science,3-5 hours per module,https://www.edx.org/course/enabling-office-365-clients-microsoft-cld221x-1,Intermediate,Microsoft
"Gain a firm foundation of Skype for Business and how it fits into Office 365. Explore the vision, value, features and partner ecosystem.",Basic comprehension of how people use technology to communicate and collaborate.,4 weeks,FREE,Skype for Business: Fundamentals,Business & Management,2-3 hours per week,https://www.edx.org/course/skype-business-fundamentals-microsoft-cld228x,Introductory,Microsoft
"Learn how to plan, design and install Skype for Business server components.",,4 weeks,FREE,Skype for Business: Infrastructure Planning and Design,Computer Science,3-5 hours per week,https://www.edx.org/course/skype-business-infrastructure-planning-microsoft-cld230x-0,Intermediate,Microsoft
This course focuses on how to plan and deploy conferencing in Skype for Business 2015 Server,"â—è Foundational knowledge of networking technologies
â—è Foundational knowledge of Microsoft Exchange Server and Windows Server technologies
â—è Foundational knowledge of Microsoft SQL Server
â—è Foundational knowledge of Azure Active Directory",4 weeks,FREE,Skype for Business: Infrastructure Implementation and Conferencing,Computer Science,3-5 hours per module,https://www.edx.org/course/skype-business-infrastructure-microsoft-cld231x-0,Intermediate,Microsoft
Learn how to plan and deploy advanced scenarios with Skype for Business Server 2015 using high availability and hybrid deployment scenarios.,,5 weeks,FREE,Skype for Business: Infrastructure Advanced Configuration,Computer Science,3-5 hours per module,https://www.edx.org/course/skype-business-infrastructure-advanced-microsoft-cld232x-0,Advanced,Microsoft
Learn how to plan and deploy voice technologies with Skype for Business Online and Cloud PBX.,,4 weeks,FREE,Skype for Business: Voice Hybrid and Routing,Computer Science,Missing,https://www.edx.org/course/skype-business-voice-hybrid-routing-microsoft-cld234x-0,Intermediate,Microsoft
Missing,,4 weeks,FREE,Missing,Computer Science,3-5 hours per module,https://www.edx.org/course/skype-business-voice-advanced-workloads-microsoft-cld235x-0,Advanced,Microsoft
"Get hands-on experience building and deriving insights from machine learning models using R, Python, and Azure Machine Learning.",Missing,6 weeks,FREE,Principles of Machine Learning,Computer Science,3-4 hours per week,https://www.edx.org/course/principles-machine-learning-microsoft-dat203-2x-4,Intermediate,Microsoft
Get started on your Data Science journey.,None,6 weeks,FREE,Microsoft Professional Program: Data Science Orientation,Data Analysis & Statistics,2-4 hours per week,https://www.edx.org/course/microsoft-professional-program-data-microsoft-dat101x-0,Introductory,Microsoft
"Explore theory and practice, and work with tools like R, Python, and Azure Machine Learning to solve advanced data science problems.",Missing,6 weeks,FREE,Applied Machine Learning,Computer Science,3-4 hours per week,https://www.edx.org/course/applied-machine-learning-microsoft-dat203-3x-2,Advanced,Microsoft
